,,,All features released after March 4th 2024 are not available on legacy plans,,,,,,,,,,,,NEW (ALL PLATFORMS),,,,,,,New Shopify,,,,New SelfServe,,Salla Pricing,,,
,Section,Type,Feature,Notes,Release Date,Benefit,Medium,Medium Sub-Category,Benefit Tier,Use Case,Scalable,Transactional Report Available,Event Data Collected,Needed Now?,Kickstarter,Basic,Growth,Master,Provided on Legacy Plans?,Transition Action,Seed Data Change Needed,Free,Starter,Pro,Guru,Growth,Enterprise,Free (الباقه المجانية),Starter (الباقه البرونزية),Pro (الباقه الفضية),Guru (الباقه الذهبية)
,listing page,,,,,,,,,,,,,,,,,,,,,https://apps.shopify.com/gameball,,,,,,https://apps.salla.sa/ar/app/1407572580,,,
,Referral,,Multiple Step Referral,,,,,,,,,,,,,,,,,,,Contact Sales,Contact Sales,Contact Sales,Contact Sales,Contact Sales,Yes,Contact Sales,Contact Sales,Contact Sales,Contact Sales
9,Referral,Limitation,Change Referral landing page URL,,,Acquisition,Referral,,Advanced,,0,,,,NA,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Referral,Limitation,Extra (bonus) Reward For Every x Referred Friends,,,Acquisition,Referral,,Full,,,,,,No,No,Yes,Yes,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,VIP Tiers,Page access,Access VIP Tiers Page,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,VIP Tiers,Limitation,Number of VIP Tiers Allowed,,,,,,,,,,,,2 VIP Tiers,3 VIP Tiers,Unlimited,Unlimited,,,,1 Tier (default),5 Tiers (total),Unlimited,Unlimited,Add limitation to the growth plan,Unlimited,1 Tier (default),2 VIP Tiers (total),Unlimited,Unlimited
,VIP Tiers,Action,Customize Tier Icon,,,,,,,,,,,,Library,Library,Library or Upload,Library or Upload,,,,From library Only,From library Only,Yes,Yes,Yes,Yes,From library Only,From library Only,Yes,Yes
,VIP Tiers,Action,Add Entry Reward,,,,,,,,,,,,No,No,Yes,Yes,,,,N/A,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes
,VIP Tiers,Action,Add Lifetime Reward,,,,,,,,,,,,No,No,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,VIP Tiers,Action,Add Custom Benefits text,,,,,,,,,,,,No,No,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,VIP Tiers,Action,Add Custom Benefits URL,,,,,,,,,,,,No,No,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,VIP Tiers,Action,Tier Expiry Methods,,,,,,,,,,,,Lifetime,Lifetime,Lifetime ,All,,,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
,VIP Tiers,Limitation,Tiering-up Methods,,,,,,,,,,,,Points Earned,Points Earned + Amount Spent,Points Earned + Amount Spent + Referral + Orders,All,,,,Amount Spent (default) ,Amount Spent (default) ,All methods,All methods,All methods,All methods,Amount Spent (default) ,Amount Spent (default) ,All methods,All methods
7,Reward Campaigns,Page access,Access Reward Campaigns Catalog,,,Productivity,Data Presentation,, Basic,,,No,No,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Limitation,Activation Limit (Recently Updated),,,Engagement,Gamification,,Advanced,,,,,,3 Active,5 Active,Unlimited,Unlimited,,deactivate extra,,Up to 5 Active,Up to 10 Active ,Up to 20 Active,Unlimited,Unlimited,Unlimited,Up to 5 Active,Up to 10 Active ,Up to 20 Active,Unlimited
,Reward Campaigns,Action,Activate - Create an account,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - First Order,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Second Order,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Third Order,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Fifth Order,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Tenth Order,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Take a survey,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,
,Reward Campaigns,Action,Activate - Facebook,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Instagram,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Twitter,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Tiktok,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Birthday,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Anniversary,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,,Activate - Write a review (Salla) ,,,,,,,,,,,,,,,,,,,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),No,Yes,Yes,Yes
,Reward Campaigns,,Activate - Write a review (Shopify Flow),,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA)
,Reward Campaigns,,Activate - Fill a survey (Shopify Flow) ,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA)
,Reward Campaigns,Action,Activate - Subscribe to Newsletter (Shopify Flow) ,,11/11/2024,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA)
,Reward Campaigns,,Activate - Write a review (APPs),,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA)
,Reward Campaigns,Action,Activate - Subscribe to Newsletter (APPs),,Removed,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Check-in Streak,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Stamps (Action Streak),,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,Action,Activate - Mission ,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,Action,Activate - Milestone,[Can be an addon] Not opened by default for Salla & Shopify to avoid any performance issues as it send an extra event - Back to youmna for more info,8/19/2025,,,,,,,,,,,,,,,,,"Hidden (NA) 
[Can be an addon]","Hidden (NA)
[Can be an addon]","Hidden (NA)
[Can be an addon]","Hidden (NA)
[Can be an addon]",Popup (Contact Sales),Popup (Contact Sales),"Hidden (NA)
[Can be an addon]","Hidden (NA)
[Can be an addon]","Hidden (NA)
[Can be an addon]","Hidden (NA)
[Can be an addon]"
,Reward Campaigns,Action,Activate - Survey (RoadMap),,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,Action,Activate - Spin the wheel,,9/1/2024,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Slot Machine,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,Yes,Yes,Yes
,Reward Campaigns,,Activate - Quiz,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,Yes,Yes,Yes
